eps, eps_squared
-1.2089000000e+00, 5.8837240000e+02
-1.0957000000e+00, 4.8502120000e+02
-1.2157000000e+00, 5.9714360000e+02
-1.2141000000e+00, 5.9236600000e+02
-1.2094000000e+00, 5.8757280000e+02
-1.3226000000e+00, 7.0581680000e+02
-1.2193000000e+00, 6.0496280000e+02
-1.1178000000e+00, 5.0403680000e+02
-1.1814000000e+00, 5.6495360000e+02
-1.3122000000e+00, 6.9552880000e+02
-1.2668000000e+00, 6.4616800000e+02
-1.1635000000e+00, 5.4541880000e+02
-1.1876000000e+00, 5.6828320000e+02
-1.2593000000e+00, 6.3898520000e+02
-1.1069000000e+00, 4.9344120000e+02
-1.2939000000e+00, 6.7521640000e+02
-1.2882000000e+00, 6.6730560000e+02
-1.2874000000e+00, 6.6844720000e+02
-1.2032000000e+00, 5.8405520000e+02
-1.2491000000e+00, 6.2994040000e+02
-1.1624000000e+00, 5.4439440000e+02
-1.1427000000e+00, 5.2640200000e+02
-1.1874000000e+00, 5.7118080000e+02
-1.1476000000e+00, 5.3030720000e+02
-1.1049000000e+00, 4.9204520000e+02
-1.2465000000e+00, 6.2900120000e+02
-1.1472000000e+00, 5.2942400000e+02
-1.1547000000e+00, 5.3654440000e+02
-1.3425000000e+00, 7.2462360000e+02
-1.2848000000e+00, 6.6637840000e+02
-1.1812000000e+00, 5.6320880000e+02
-1.2175000000e+00, 6.0140440000e+02
-1.1296000000e+00, 5.1255280000e+02
-1.3451000000e+00, 7.2971960000e+02
-1.2629000000e+00, 6.4307080000e+02
-1.3214000000e+00, 7.1140640000e+02
-1.2975000000e+00, 6.7779080000e+02
-1.2364000000e+00, 6.1515040000e+02
-1.2521000000e+00, 6.3495640000e+02
-1.2229000000e+00, 6.0164440000e+02
-1.2423000000e+00, 6.2523640000e+02
-1.1500000000e+00, 5.3712480000e+02
-1.1687000000e+00, 5.5451000000e+02
-1.1867000000e+00, 5.6898760000e+02
-1.3114000000e+00, 6.9865280000e+02
-1.2324000000e+00, 6.1556960000e+02
-1.2030000000e+00, 5.8259760000e+02
-1.2520000000e+00, 6.3877600000e+02
-1.2149000000e+00, 5.9535240000e+02
-1.1827000000e+00, 5.6335960000e+02
-1.1142000000e+00, 4.9953360000e+02
-1.1281000000e+00, 5.1266040000e+02
-1.1359000000e+00, 5.2023240000e+02
-1.1323000000e+00, 5.1618120000e+02
-1.2107000000e+00, 5.9044440000e+02
-1.3335000000e+00, 7.1942520000e+02
-1.2609000000e+00, 6.4016360000e+02
-1.1594000000e+00, 5.4313200000e+02
-1.0890000000e+00, 4.7969600000e+02
-1.1955000000e+00, 5.7829000000e+02
-1.2548000000e+00, 6.3702320000e+02
-1.2322000000e+00, 6.1924800000e+02
-1.1899000000e+00, 5.7003400000e+02
-1.3327000000e+00, 7.2151320000e+02
-1.2891000000e+00, 6.6989320000e+02
-1.2405000000e+00, 6.1957160000e+02
-1.1811000000e+00, 5.6195320000e+02
-1.2878000000e+00, 6.7163920000e+02
-1.1181000000e+00, 5.0338280000e+02
-1.1351000000e+00, 5.1916440000e+02
-1.1279000000e+00, 5.1192840000e+02
-1.2863000000e+00, 6.7098520000e+02
-1.3420000000e+00, 7.2738000000e+02
-1.3832000000e+00, 7.7077280000e+02
-1.2702000000e+00, 6.5263680000e+02
-1.2365000000e+00, 6.1810840000e+02
-1.2920000000e+00, 6.7454720000e+02
-1.1303000000e+00, 5.1486760000e+02
-1.3289000000e+00, 7.2595960000e+02
-1.2644000000e+00, 6.4442400000e+02
-1.3816000000e+00, 7.6922800000e+02
-1.1848000000e+00, 5.6691360000e+02
-1.1411000000e+00, 5.2596840000e+02
-1.3162000000e+00, 7.0358160000e+02
-1.3931000000e+00, 7.8096280000e+02
-1.1886000000e+00, 5.6971520000e+02
